Year,Expenditures,Revenue,CostToContinue,RevenueIncrease,IncrementalGap,RunningBudgetGap,GapAsPercentageOfExpenditures,HealthInsurance,HealthInsuranceDelta,HealthInsuranceCostToContinuePortion,HealthInsuranceOverallPortion,Assessor,Attorney,Civil_Rights,Clerk,Employee_Assistance_Program,Finance,Human_Resources,Information_Technology,Common_Council,Mayor,Municipal_Court,Building_Inspection,Community_Development_Division,Economic_Development_Division,PCED_Office_of_the_Director,Planning_Division,Library,Fire_Department,Office_of_the_Independent_Monitor,Police_Department,Public_Health,Engineering_Division,Parks_Division,Streets_Division,Metro_Transit,Traffic_Engineering,Transportation_Department,Direct_Appropriation
2035,526747213.3464074,393707063.67845213,20573588.248908937,7100353.957678556,13473234.29123038,133040150.66795528,0.25256925389838447,57389877.38758073,3973597.403997928,0.19314070817027537,0.10895145894172797,5443031.872776258,5238906.296538516,4325477.445571667,5747392.49121751,829704.4706363088,8918079.759009693,3649935.728119133,14764746.98143507,1704684.6304458498,2650630.485108858,735676.2839510415,8856004.652626667,21789011.89276449,3857852.263910017,1093469.6194948773,6010630.621739766,31681550.586144447,110609054.21933964,751069.3213911189,140339188.80137008,15882381.237964576,7437677.892094544,26587218.71349365,41752756.51318904,24207915.035554606,15443614.222913593,927371.8232882243,15512179.484318154
2036,548211545.9377948,400967289.8832551,21464332.59138739,7260226.20480299,14204106.386584401,147244257.05453968,0.26859021511970743,61654358.67116774,4264481.283587009,0.19867756266962341,0.11246453878620721,5683809.367585792,5467450.5190118095,4515763.05722046,5967500.4678585185,868093.8891282441,9332737.4410672,3830816.9391754474,15357735.912099294,1770250.9364610638,2779525.1075382507,785968.2772080149,9235983.096841892,22466775.820345663,4015736.927145945,1138977.3410556198,6250924.228086971,32948056.589061476,115303238.13821815,778277.8323019133,146083564.8958213,16517676.48748316,7614122.283583139,27748659.69962822,43382400.70092124,25176231.636976793,16093799.810297143,964801.8719812782,16132666.66369088
2037,570609001.7360237,408391413.24001765,22397455.79822886,7424123.356762528,14973332.441466331,162217589.496006,0.2842885215663868,66230750.28965855,4576391.618490808,0.2043264047362334,0.11607028646263515,5936023.75785102,5706172.886553777,4714421.237506059,6196318.54266,908244.5053509356,9765328.886682225,4019720.7570964294,15974636.826626439,1838459.6437387958,2914033.2267156085,838686.4867481987,9633712.304978697,23166913.179046534,4180616.5188458688,1186522.9386822616,6501338.758559565,34269855.71576301,120212130.35004684,806519.1977605395,152083410.69600865,17178383.546982486,7798526.376495476,28961957.32859926,45080304.1801892,26183280.902455866,16771616.436910499,1003893.2169310154,16777973.330238517
2038,593984215.796792,415983579.0770986,23375214.060768366,7592165.8370809555,15783048.22368741,178000637.71969342,0.2996723363783613,71141583.15316747,4910832.863508925,0.21008718254909967,0.11977015762571327,6200276.621841331,5955569.0602559615,4921858.643821297,6434216.055853921,950246.1433938611,10216718.476343444,4217038.452691256,16616563.998179257,1909424.2844659088,3054419.8523385753,893962.4098416697,10050105.894558223,23890304.714201003,4352833.715414682,1236207.0940975065,6762341.749862736,35649671.402962625,125346522.60088529,835836.2615985032,158351136.1412976,17865518.888861787,7991289.572193187,30229698.46711431,46849633.42898311,27230612.138554104,17478391.59216272,1044725.8715701243,17449092.26344806
2039,618384212.3807437,423748057.5192764,24399996.58395171,7764478.4421777725,16635518.14177394,194636155.86146736,0.3147495553163127,76410999.36895874,5269416.21579127,0.215959711209839,0.12356557272828939,6477204.6346240025,6216161.660102995,5138504.094812913,6681579.77048788,994193.7448570153,10687817.589114238,4423182.659019285,17284691.643110566,1983263.8005413865,3200963.9542540372,951935.4389411581,10486129.745301308,24637873.263316967,4532750.021654267,1288136.0558771822,7034425.026088376,37090378.75699934,130717811.15069878,866273.8715843384,164899824.31967005,18580139.644416258,8192833.725706124,31554614.97181367,48693720.88260014,28319836.624096267,18215525.23341895,1087384.1436503518,18147055.95398598
2040,643858546.4015896,431689248.04562306,25474334.02084589,7941190.5263466835,17533143.494499207,212169299.35596657,0.3295278140544113,82064866.50398076,5653867.135022014,0.22194366810121124,0.1274579128639771,6767481.78373361,6488501.883362647,5364809.904748898,6938814.801516456,1040187.6869952765,11179587.432614127,4638588.6585174035,17980257.529423427,2060102.8341571398,3353959.2795904595,1012753.3702806216,10942805.253138376,25410586.123312272,4720746.911410352,1342421.9780734335,7318106.108654076,38595013.8589765,136338033.85972628,897878.9862108104,171743271.7911349,19323345.230192907,8403604.529134843,32939592.60982363,50616074.65230088,29452630.08906012,18984494.17315571,1131956.8901991297,18872938.192145422
2041,670459453.8671569,439811684.2409169,26600907.46556723,8122436.195293844,18478471.270273387,230647770.62623996,0.34401449527765166,88130899.89422177,6066033.390241012,0.22803858846142794,0.13144851547083083,7071821.73160749,6773171.226980775,5601253.303839894,7206345.600002063,1088334.121754658,11693042.055402111,4863715.7530541485,18704566.81835293,2140072.0356943673,3513715.2215572773,1076572.9465659978,11421212.798010299,26209457.565631755,4917227.041972391,1399183.2807836367,7613929.715001154,40166783.676726796,142219909.6900993,930700.7878298463,178896031.49893227,20096279.039400626,8624072.985426545,34387680.56171578,52620388.859579705,30630735.292622525,19786856.750038873,1178537.7887423835,19627855.71983124
2042,698242011.9095864,448120038.74956733,27782558.042429566,8308354.508650422,19474203.533779144,250121974.1600191,0.35821673559282585,94638793.56421481,6507893.669993043,0.23424386120436344,0.13553866990241967,7390980.334751504,7070783.320928251,5848337.950264295,7484616.995939536,1138745.3371124857,12229251.553969277,5099048.722457914,19458996.154703468,2223308.390042494,3680557.743331301,1143560.4360873848,11922495.43991198,27035551.5090122,5122615.547170071,1458545.0341378038,7922469.351914153,41809076.624478206,148376880.7852108,964790.802540866,186373458.4412518,20900130.20097665,8854736.978615997,35902101.54611916,54710554.626858704,31855964.704327427,20624257.80297254,1227225.6258755866,20412969.948624488
2043,727264309.041274,456619128.4414624,29022297.131687522,8499089.691895068,20523207.439792454,270645181.59981155,0.37214143226221735,101620360.35925387,6981566.795039058,0.24055872501616518,0.13972961287377939,7725758.33028418,7381985.879919722,6106595.540038284,7774095.303452001,1191540.142230216,12789345.487379545,5345099.377444393,20244998.022641636,2309955.5625213077,3854830.3606817937,1213892.2507422133,12447862.858619826,27889984.36032391,5337361.41444715,1520639.3672777344,8244329.009721037,43525473.813889176,154823157.30043268,1000203.0272651676,194191758.28793573,21736135.40901572,9096122.947039383,37486262.60791477,56890671.76818119,33130203.292500526,21498433.96846652,1278124.6043386157,21229488.74656947
2044,757587626.3162926,465313919.7995997,30323317.275018692,8694791.35813731,21628525.916881382,292273707.51669294,0.3857952497691254,109109681.93483916,7489321.575585291,0.24698226475885046,0.14402252379091246,8077004.201238012,7707462.781429297,6376587.521290515,8075269.4923548205,1246844.2780309464,13374516.51348633,5602408.2132720975,21064105.384784885,2400164.2656655377,4036895.187233355,1287755.6056303685,12998595.553601976,28773928.034624808,5561938.951553496,1585605.9040085245,8580144.964057049,45319761.04310761,161573765.1706432,1036994.0644678359,202368039.13919356,22605580.825376347,9348787.666474178,39143766.61481008,59165061.226437606,34455411.42420055,22411219.323058948,1331344.66982847,22078668.29643225
